Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,028,209",-,-,"$822,028,209",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$415,400,000","$90,300,000",21.7%,"$325,100,000",78.3%
4,A Writer's Odyssey,"$149,506,203","$110,779",<0.1%,"$149,395,424",99.9%
5,Sister,"$128,248,986",-,-,"$128,248,986",100%
6,Tom and Jerry,"$103,000,000","$44,200,000",42.9%,"$58,800,000",57.1%
7,Raya and the Last Dragon,"$100,878,331","$41,580,947",41.2%,"$59,297,384",58.8%
8,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
9,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
10,Evangelion: 3.0+1.0 Thrice Upon a Time,"$74,278,336",-,-,"$74,278,336",100%
11,Mortal Kombat,"$66,900,000","$34,100,000",51%,"$32,800,000",49%
12,Detective Conan: The Scarlet Bullet,"$63,762,214",-,-,"$63,762,214",100%
13,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
14,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
15,Nobody,"$41,557,810","$23,367,810",56.2%,"$18,190,000",43.8%
16,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
17,I Fell in Love Like A Flower Bouquet,"$34,422,973",-,-,"$34,422,973",100%
18,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
19,The Little Things,"$29,826,613","$15,226,613",51.1%,"$14,600,000",48.9%
20,Master,"$28,692,230",-,-,"$28,692,230",100%
21,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
22,The Marksman,"$22,383,234","$15,566,093",69.5%,"$6,817,141",30.5%
23,Chaos Walking,"$21,838,377","$13,238,377",60.6%,"$8,600,000",39.4%
24,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
25,The Unholy,"$21,030,419","$13,130,419",62.4%,"$7,900,000",37.6%
26,Peter Rabbit 2: the Runaway,"$17,400,000",-,-,"$17,400,000",100%
27,Bo Gia,"$17,059,831",-,-,"$17,059,831",100%
28,The Dry,"$17,051,620",-,-,"$17,051,620",100%
29,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
30,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
31,Rurouni Kenshin: Final Chapter Part I - The Final,"$14,500,000",-,-,"$14,500,000",100%
32,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
33,Vakeel Saab,"$12,879,637",-,-,"$12,879,637",100%
34,Minari,"$12,057,595","$2,850,651",23.6%,"$9,206,944",76.4%
35,Krack,"$10,442,916",-,-,"$10,442,916",100%
36,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
37,"Caution, Hazardous Wife: The Movie","$10,279,120",-,-,"$10,279,120",100%
38,The Courier,"$9,928,169","$6,087,898",61.3%,"$3,840,271",38.7%
39,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
40,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
41,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
42,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
43,Dad,"$7,106,607",-,-,"$7,106,607",100%
44,Signal: The Movie,"$6,340,996",-,-,"$6,340,996",100%
